n	cost	search-status	sequence
133	4	completed	[<< 5, +1, << 2, +1]
134	5	completed	[<< 5, +1, << 1, +1, << 1]
135	4	completed	[<< 4, +1, << 3, -1]
136	3	completed	[<< 4, +1, << 3]
137	4	completed	[<< 4, +1, << 3, +1]
138	5	completed	[<< 4, +1, << 2, +1, << 1]
139	6	completed	[<< 4, +1, << 2, +1, << 1, +1]
140	5	completed	[<< 4, +1, << 1, +1, << 2]
141	6	completed	[<< 4, +1, << 1, +1, << 2, +1]
142	5	completed	[<< 3, +1, << 3, -1, << 1]
143	4	completed	[<< 3, +1, << 4, -1]
144	3	completed	[<< 3, +1, << 4]
145	4	completed	[<< 3, +1, << 4, +1]
146	5	completed	[<< 3, +1, << 3, +1, << 1]
147	6	completed	[<< 3, +1, << 3, +1, << 1, +1]
148	5	completed	[<< 3, +1, << 2, +1, << 2]
149	6	completed	[<< 3, +1, << 2, +1, << 2, +1]
150	5	completed	[<< 4, -1, << 2, +(n), << 1]
151	6	completed	[<< 3, +1, << 1, +1, << 3, -1]
152	5	completed	[<< 3, +1, << 1, +1, << 3]
153	4	completed	[<< 4, +1, << 3, +(n)]
154	7	completed	[<< 3, +1, << 1, +1, << 2, +1, << 1]
155	4	completed	[<< 5, -1, << 2, +(n)]
156	5	completed	[<< 2, +1, << 3, -1, << 2]
157	6	completed	[<< 2, +1, << 3, -1, << 2, +1]
158	5	completed	[<< 2, +1, << 4, -1, << 1]
159	4	completed	[<< 2, +1, << 5, -1]
160	3	completed	[<< 2, +1, << 5]
161	4	completed	[<< 2, +1, << 5, +1]
162	5	completed	[<< 2, +1, << 4, +1, << 1]
163	6	completed	[<< 2, +1, << 4, +1, << 1, +1]
164	5	completed	[<< 2, +1, << 3, +1, << 2]
165	4	completed	[<< 5, +1, << 2, +(n)]
166	7	completed	[<< 2, +1, << 3, +1, << 1, +1, << 1]
167	6	completed	[<< 2, +1, << 2, +1, << 3, -1]
168	5	completed	[<< 2, +1, << 2, +1, << 3]
169	6	completed	[<< 2, +1, << 2, +1, << 3, +1]
170	5	completed	[<< 4, +1, << 2, +(n), << 1]
171	6	completed	[<< 4, +1, << 2, +(n), << 1, +1]
172	7	completed	[<< 2, +1, << 2, +1, << 1, +1, << 2]
173	8	completed	[<< 2, +1, << 2, +1, << 1, +1, << 2, +1]
174	7	completed	[<< 2, +1, << 1, +1, << 3, -1, << 1]
175	6	completed	[<< 2, +1, << 1, +1, << 4, -1]
176	5	completed	[<< 2, +1, << 1, +1, << 4]
177	6	completed	[<< 2, +1, << 1, +1, << 4, +1]
178	7	completed	[<< 2, +1, << 1, +1, << 3, +1, << 1]
179	6	completed	[<< 4, -1, << 1, +(n), << 2, -1]
180	5	completed	[<< 4, -1, << 1, +(n), << 2]
181	6	completed	[<< 4, -1, << 1, +(n), << 2, +1]
182	7	completed	[<< 4, -1, << 1, +(n), << 1, +1, << 1]
183	6	completed	[<< 1, +1, << 3, -1, << 3, -1]
184	5	completed	[<< 1, +1, << 3, -1, << 3]
185	6	completed	[<< 1, +1, << 3, -1, << 3, +1]
186	5	completed	[<< 5, -1, << 1, +(n), << 1]
187	6	completed	[<< 5, -1, << 1, +(n), << 1, +1]
188	5	completed	[<< 1, +1, << 4, -1, << 2]
189	4	completed	[<< 6, -1, << 1, +(n)]
190	5	completed	[<< 1, +1, << 5, -1, << 1]
191	4	completed	[<< 1, +1, << 6, -1]
192	3	completed	[<< 1, +1, << 6]
193	4	completed	[<< 1, +1, << 6, +1]
194	5	completed	[<< 1, +1, << 5, +1, << 1]
195	4	completed	[<< 6, +1, << 1, +(n)]
196	5	completed	[<< 1, +1, << 4, +1, << 2]
197	6	completed	[<< 1, +1, << 4, +1, << 2, +1]
198	5	completed	[<< 5, +1, << 1, +(n), << 1]
199	6	completed	[<< 1, +1, << 3, +1, << 3, -1]
200	5	completed	[<< 1, +1, << 3, +1, << 3]
201	6	completed	[<< 1, +1, << 3, +1, << 3, +1]
202	7	completed	[<< 1, +1, << 3, +1, << 2, +1, << 1]
203	6	completed	[<< 3, -1, << 2, +1, << 3, -(n)]
204	5	completed	[<< 4, +1, << 1, +(n), << 2]
205	6	completed	[<< 4, +1, << 1, +(n), << 2, +1]
206	7	completed	[<< 1, +1, << 2, +1, << 3, -1, << 1]
207	6	completed	[<< 1, +1, << 2, +1, << 4, -1]
208	5	completed	[<< 1, +1, << 2, +1, << 4]
209	6	completed	[<< 1, +1, << 2, +1, << 4, +1]
210	5	completed	[<< 4, -1, << 3, -(n), << 1]
211	6	completed	[<< 4, -1, << 3, -(n), << 1, +1]
212	7	completed	[<< 1, +1, << 2, +1, << 2, +1, << 2]
213	6	completed	[<< 3, +1, << 3, -1, << 1, +(n)]
214	7	completed	[<< 3, +1, << 1, +(n), << 2, -1, << 1]
215	6	completed	[<< 3, +1, << 1, +(n), << 3, -1]
216	5	completed	[<< 3, +1, << 1, +(n), << 3]
217	4	completed	[<< 5, -1, << 3, -(n)]
218	7	completed	[<< 3, +1, << 1, +(n), << 2, +1, << 1]
219	6	completed	[<< 3, +1, << 3, +1, << 1, +(n)]
220	5	completed	[<< 3, -1, << 3, -1, << 2]
221	6	completed	[<< 3, -1, << 3, -1, << 2, +1]
222	5	completed	[<< 3, -1, << 4, -1, << 1]
223	4	completed	[<< 3, -1, << 5, -1]
224	3	completed	[<< 3, -1, << 5]
225	4	completed	[<< 3, -1, << 5, +1]
226	5	completed	[<< 3, -1, << 4, +1, << 1]
227	6	completed	[<< 3, -1, << 4, +1, << 1, +1]
228	5	completed	[<< 3, -1, << 3, +1, << 2]
229	6	completed	[<< 3, -1, << 3, +1, << 2, +1]
230	7	completed	[<< 3, -1, << 3, +1, << 1, +1, << 1]
231	4	completed	[<< 5, +1, << 3, -(n)]
232	5	completed	[<< 3, -1, << 2, +1, << 3]
233	6	completed	[<< 3, -1, << 2, +1, << 3, +1]
234	7	completed	[<< 3, -1, << 2, +1, << 2, +1, << 1]
235	6	completed	[<< 1, +1, << 4, -1, << 2, +(n)]
236	5	completed	[<< 4, -1, << 2, -1, << 2]
237	6	completed	[<< 4, -1, << 2, -1, << 2, +1]
238	5	completed	[<< 4, -1, << 3, -1, << 1]
239	4	completed	[<< 4, -1, << 4, -1]
240	3	completed	[<< 4, -1, << 4]
241	4	completed	[<< 4, -1, << 4, +1]
242	5	completed	[<< 4, -1, << 3, +1, << 1]
243	6	completed	[<< 4, -1, << 3, +1, << 1, +1]
244	5	completed	[<< 4, -1, << 2, +1, << 2]
245	6	completed	[<< 4, -1, << 2, +1, << 2, +1]
246	5	completed	[<< 5, -1, << 2, -1, << 1]
247	4	completed	[<< 5, -1, << 3, -1]
248	3	completed	[<< 5, -1, << 3]
249	4	completed	[<< 5, -1, << 3, +1]
250	5	completed	[<< 5, -1, << 2, +1, << 1]
251	4	completed	[<< 6, -1, << 2, -1]
252	3	completed	[<< 6, -1, << 2]
253	4	completed	[<< 6, -1, << 2, +1]
254	3	completed	[<< 7, -1, << 1]
255	2	completed	[<< 8, -1]
256	1	completed	[<< 8]
257	2	completed	[<< 8, +1]
258	3	completed	[<< 7, +1, << 1]
259	4	completed	[<< 7, +1, << 1, +1]
260	3	completed	[<< 6, +1, << 2]
261	4	completed	[<< 6, +1, << 2, +1]
262	5	completed	[<< 6, +1, << 1, +1, << 1]
263	4	completed	[<< 5, +1, << 3, -1]
264	3	completed	[<< 5, +1, << 3]
265	4	completed	[<< 5, +1, << 3, +1]
266	5	completed	[<< 5, +1, << 2, +1, << 1]
267	6	completed	[<< 5, +1, << 2, +1, << 1, +1]
268	5	completed	[<< 5, +1, << 1, +1, << 2]
269	6	completed	[<< 5, +1, << 1, +1, << 2, +1]
270	5	completed	[<< 4, +1, << 3, -1, << 1]
271	4	completed	[<< 4, +1, << 4, -1]
272	3	completed	[<< 4, +1, << 4]
273	4	completed	[<< 4, +1, << 4, +1]
274	5	completed	[<< 4, +1, << 3, +1, << 1]
275	6	completed	[<< 4, +1, << 3, +1, << 1, +1]
276	5	completed	[<< 4, +1, << 2, +1, << 2]
277	6	completed	[<< 4, +1, << 2, +1, << 2, +1]
278	7	completed	[<< 4, +1, << 2, +1, << 1, +1, << 1]
279	4	completed	[<< 5, -1, << 3, +(n)]
280	5	completed	[<< 4, +1, << 1, +1, << 3]
281	6	completed	[<< 4, +1, << 1, +1, << 3, +1]
282	7	completed	[<< 4, +1, << 1, +1, << 2, +1, << 1]
283	6	completed	[<< 3, +1, << 3, -1, << 2, -1]
284	5	completed	[<< 3, +1, << 3, -1, << 2]
285	6	completed	[<< 3, +1, << 3, -1, << 2, +1]
286	5	completed	[<< 3, +1, << 4, -1, << 1]
287	4	completed	[<< 3, +1, << 5, -1]
288	3	completed	[<< 3, +1, << 5]
289	4	completed	[<< 3, +1, << 5, +1]
290	5	completed	[<< 3, +1, << 4, +1, << 1]
291	6	completed	[<< 3, +1, << 4, +1, << 1, +1]
292	5	completed	[<< 3, +1, << 3, +1, << 2]
293	6	completed	[<< 3, +1, << 3, +1, << 2, +1]
294	7	completed	[<< 3, +1, << 3, +1, << 1, +1, << 1]
295	6	completed	[<< 3, +1, << 2, +1, << 3, -1]
296	5	completed	[<< 3, +1, << 2, +1, << 3]
297	4	completed	[<< 5, +1, << 3, +(n)]
298	7	completed	[<< 3, +1, << 2, +1, << 2, +1, << 1]
299	6	completed	[<< 4, -1, << 2, +(n), << 2, -1]
300	5	completed	[<< 4, -1, << 2, +(n), << 2]
301	6	completed	[<< 4, -1, << 2, +(n), << 2, +1]
302	7	completed	[<< 3, +1, << 1, +1, << 3, -1, << 1]
303	6	completed	[<< 3, +1, << 1, +1, << 4, -1]
304	5	completed	[<< 3, +1, << 1, +1, << 4]
305	6	completed	[<< 3, +1, << 1, +1, << 4, +1]
306	5	completed	[<< 4, +1, << 3, +(n), << 1]
307	6	completed	[<< 4, +1, << 3, +(n), << 1, +1]
308	7	completed	[<< 3, +1, << 1, +1, << 2, +1, << 2]
309	6	completed	[<< 5, -1, << 2, +(n), << 1, -1]
310	5	completed	[<< 5, -1, << 2, +(n), << 1]
311	6	completed	[<< 2, +1, << 3, -1, << 3, -1]
312	5	completed	[<< 2, +1, << 3, -1, << 3]
313	6	completed	[<< 2, +1, << 3, -1, << 3, +1]
314	7	completed	[<< 2, +1, << 3, -1, << 2, +1, << 1]
315	4	completed	[<< 6, -1, << 2, +(n)]
316	5	completed	[<< 2, +1, << 4, -1, << 2]
317	6	completed	[<< 2, +1, << 4, -1, << 2, +1]
318	5	completed	[<< 2, +1, << 5, -1, << 1]
319	4	completed	[<< 2, +1, << 6, -1]
320	3	completed	[<< 2, +1, << 6]
321	4	completed	[<< 2, +1, << 6, +1]
322	5	completed	[<< 2, +1, << 5, +1, << 1]
323	6	completed	[<< 2, +1, << 5, +1, << 1, +1]
324	5	completed	[<< 2, +1, << 4, +1, << 2]
325	4	completed	[<< 6, +1, << 2, +(n)]
326	7	completed	[<< 2, +1, << 4, +1, << 1, +1, << 1]
327	6	completed	[<< 2, +1, << 3, +1, << 3, -1]
328	5	completed	[<< 2, +1, << 3, +1, << 3]
329	6	completed	[<< 2, +1, << 3, +1, << 3, +1]
330	5	completed	[<< 5, +1, << 2, +(n), << 1]
331	6	completed	[<< 5, +1, << 2, +(n), << 1, +1]
332	7	completed	[<< 2, +1, << 3, +1, << 1, +1, << 2]
333	6	completed	[<< 3, -1, << 4, -1, << 1, +(n)]
334	7	completed	[<< 2, +1, << 2, +1, << 3, -1, << 1]
335	6	completed	[<< 2, +1, << 2, +1, << 4, -1]
336	5	completed	[<< 2, +1, << 2, +1, << 4]
337	6	completed	[<< 2, +1, << 2, +1, << 4, +1]
338	7	completed	[<< 2, +1, << 2, +1, << 3, +1, << 1]
339	6	completed	[<< 3, -1, << 4, +1, << 1, +(n)]
340	5	completed	[<< 4, +1, << 2, +(n), << 2]
341	6	completed	[<< 4, +1, << 2, +(n), << 2, +1]
342	7	completed	[<< 4, +1, << 2, +(n), << 1, +1, << 1]
343	6	completed	[<< 1, +1, << 4, +1, << 3, -(n)]
344	7	completed	[<< 2, +1, << 2, +1, << 1, +1, << 3]
345	6	completed	[<< 4, +1, << 2, +1, << 2, +(n)]
346	9	completed	[<< 2, +1, << 2, +1, << 1, +1, << 2, +1, << 1]
347	8	completed	[<< 2, +1, << 1, +1, << 3, -1, << 2, -1]
348	7	completed	[<< 2, +1, << 1, +1, << 3, -1, << 2]
349	8	completed	[<< 2, +1, << 1, +1, << 3, -1, << 2, +1]
350	7	completed	[<< 2, +1, << 1, +1, << 4, -1, << 1]
351	6	completed	[<< 2, +1, << 1, +1, << 5, -1]
352	5	completed	[<< 2, +1, << 1, +1, << 5]
353	6	completed	[<< 2, +1, << 1, +1, << 5, +1]
354	7	completed	[<< 2, +1, << 1, +1, << 4, +1, << 1]
355	6	completed	[<< 3, +1, << 3, -1, << 2, +(n)]
356	7	completed	[<< 2, +1, << 1, +1, << 3, +1, << 2]
357	6	completed	[<< 4, -1, << 3, -1, << 1, +(n)]
358	7	completed	[<< 4, -1, << 1, +(n), << 2, -1, << 1]
359	6	completed	[<< 4, -1, << 1, +(n), << 3, -1]
360	5	completed	[<< 4, -1, << 1, +(n), << 3]
361	6	completed	[<< 4, -1, << 1, +(n), << 3, +1]
362	7	completed	[<< 4, -1, << 1, +(n), << 2, +1, << 1]
363	6	completed	[<< 4, -1, << 3, +1, << 1, +(n)]
364	7	completed	[<< 4, -1, << 1, +(n), << 1, +1, << 2]
365	6	completed	[<< 3, +1, << 3, +1, << 2, +(n)]
366	7	completed	[<< 1, +1, << 3, -1, << 3, -1, << 1]
367	6	completed	[<< 1, +1, << 3, -1, << 4, -1]
368	5	completed	[<< 1, +1, << 3, -1, << 4]
369	6	completed	[<< 1, +1, << 3, -1, << 4, +1]
370	7	completed	[<< 1, +1, << 3, -1, << 3, +1, << 1]
371	6	completed	[<< 5, -1, << 1, +(n), << 2, -1]
372	5	completed	[<< 5, -1, << 1, +(n), << 2]
373	6	completed	[<< 5, -1, << 1, +(n), << 2, +1]
374	7	completed	[<< 5, -1, << 1, +(n), << 1, +1, << 1]
375	6	completed	[<< 1, +1, << 4, -1, << 3, -1]
376	5	completed	[<< 1, +1, << 4, -1, << 3]
377	6	completed	[<< 1, +1, << 4, -1, << 3, +1]
378	5	completed	[<< 6, -1, << 1, +(n), << 1]
379	6	completed	[<< 6, -1, << 1, +(n), << 1, +1]
380	5	completed	[<< 1, +1, << 5, -1, << 2]
381	4	completed	[<< 7, -1, << 1, +(n)]
382	5	completed	[<< 1, +1, << 6, -1, << 1]
383	4	completed	[<< 1, +1, << 7, -1]
384	3	completed	[<< 1, +1, << 7]
385	4	completed	[<< 1, +1, << 7, +1]
386	5	completed	[<< 1, +1, << 6, +1, << 1]
387	4	completed	[<< 7, +1, << 1, +(n)]
388	5	completed	[<< 1, +1, << 5, +1, << 2]
389	6	completed	[<< 1, +1, << 5, +1, << 2, +1]
390	5	completed	[<< 6, +1, << 1, +(n), << 1]
391	6	completed	[<< 1, +1, << 4, +1, << 3, -1]
392	5	completed	[<< 1, +1, << 4, +1, << 3]
393	6	completed	[<< 1, +1, << 4, +1, << 3, +1]
394	7	completed	[<< 1, +1, << 4, +1, << 2, +1, << 1]
395	6	completed	[<< 2, +1, << 4, -1, << 2, +(n)]
396	5	completed	[<< 5, +1, << 1, +(n), << 2]
397	6	completed	[<< 5, +1, << 1, +(n), << 2, +1]
398	7	completed	[<< 1, +1, << 3, +1, << 3, -1, << 1]
399	6	completed	[<< 1, +1, << 3, +1, << 4, -1]
400	5	completed	[<< 1, +1, << 3, +1, << 4]
401	6	completed	[<< 1, +1, << 3, +1, << 4, +1]
402	7	completed	[<< 1, +1, << 3, +1, << 3, +1, << 1]
403	6	completed	[<< 1, +1, << 2, +1, << 5, -(n)]
404	7	completed	[<< 1, +1, << 3, +1, << 2, +1, << 2]
405	6	completed	[<< 4, +1, << 3, -1, << 1, +(n)]
406	7	completed	[<< 3, -1, << 2, +1, << 3, -(n), << 1]
407	6	completed	[<< 4, +1, << 1, +(n), << 3, -1]
408	5	completed	[<< 4, +1, << 1, +(n), << 3]
409	6	completed	[<< 4, +1, << 1, +(n), << 3, +1]
410	7	completed	[<< 4, +1, << 1, +(n), << 2, +1, << 1]
411	6	completed	[<< 4, +1, << 3, +1, << 1, +(n)]
412	7	completed	[<< 1, +1, << 2, +1, << 3, -1, << 2]
413	6	completed	[<< 4, -1, << 2, -1, << 3, -(n)]
414	7	completed	[<< 1, +1, << 2, +1, << 4, -1, << 1]
415	6	completed	[<< 1, +1, << 2, +1, << 5, -1]
416	5	completed	[<< 1, +1, << 2, +1, << 5]
417	6	completed	[<< 1, +1, << 2, +1, << 5, +1]
418	7	completed	[<< 1, +1, << 2, +1, << 4, +1, << 1]
419	6	completed	[<< 4, -1, << 3, -(n), << 2, -1]
420	5	completed	[<< 4, -1, << 3, -(n), << 2]
421	6	completed	[<< 4, -1, << 3, -(n), << 2, +1]
422	7	completed	[<< 4, -1, << 3, -(n), << 1, +1, << 1]
423	6	completed	[<< 1, +1, << 4, -1, << 3, +(n)]
424	7	completed	[<< 1, +1, << 2, +1, << 2, +1, << 3]
425	6	completed	[<< 4, +1, << 2, +(n), << 2, +(n)]
426	7	completed	[<< 3, +1, << 3, -1, << 1, +(n), << 1]
427	6	completed	[<< 4, -1, << 2, +1, << 3, -(n)]
428	7	completed	[<< 3, +1, << 1, +(n), << 2, -1, << 2]
429	6	completed	[<< 3, +1, << 4, -1, << 1, +(n)]
430	7	completed	[<< 3, +1, << 1, +(n), << 3, -1, << 1]
431	6	completed	[<< 3, +1, << 1, +(n), << 4, -1]
432	5	completed	[<< 3, +1, << 1, +(n), << 4]
433	6	completed	[<< 3, +1, << 1, +(n), << 4, +1]
434	5	completed	[<< 5, -1, << 3, -(n), << 1]
435	6	completed	[<< 5, -1, << 3, -(n), << 1, +1]
436	7	completed	[<< 3, +1, << 1, +(n), << 2, +1, << 2]
437	8	completed	[<< 3, +1, << 1, +(n), << 2, +1, << 2, +1]
438	7	completed	[<< 3, +1, << 3, +1, << 1, +(n), << 1]
439	6	completed	[<< 3, -1, << 3, -1, << 3, -1]
440	5	completed	[<< 3, -1, << 3, -1, << 3]
441	4	completed	[<< 6, -1, << 3, -(n)]
442	7	completed	[<< 3, -1, << 3, -1, << 2, +1, << 1]
443	6	completed	[<< 3, -1, << 4, -1, << 2, -1]
444	5	completed	[<< 3, -1, << 4, -1, << 2]
445	6	completed	[<< 3, -1, << 4, -1, << 2, +1]
446	5	completed	[<< 3, -1, << 5, -1, << 1]
447	4	completed	[<< 3, -1, << 6, -1]
448	3	completed	[<< 3, -1, << 6]
449	4	completed	[<< 3, -1, << 6, +1]
450	5	completed	[<< 3, -1, << 5, +1, << 1]
451	6	completed	[<< 3, -1, << 5, +1, << 1, +1]
452	5	completed	[<< 3, -1, << 4, +1, << 2]
453	6	completed	[<< 3, -1, << 4, +1, << 2, +1]
454	7	completed	[<< 3, -1, << 4, +1, << 1, +1, << 1]
455	4	completed	[<< 6, +1, << 3, -(n)]
456	5	completed	[<< 3, -1, << 3, +1, << 3]
457	6	completed	[<< 3, -1, << 3, +1, << 3, +1]
458	7	completed	[<< 3, -1, << 3, +1, << 2, +1, << 1]
459	6	completed	[<< 4, +1, << 3, +(n), << 1, +(n)]
460	7	completed	[<< 3, -1, << 3, +1, << 1, +1, << 2]
461	6	completed	[<< 5, +1, << 3, -(n), << 1, -1]
462	5	completed	[<< 5, +1, << 3, -(n), << 1]
463	6	completed	[<< 3, -1, << 2, +1, << 4, -1]
464	5	completed	[<< 3, -1, << 2, +1, << 4]
465	4	completed	[<< 5, -1, << 4, -(n)]
466	7	completed	[<< 3, -1, << 2, +1, << 3, +1, << 1]
467	8	completed	[<< 3, -1, << 2, +1, << 3, +1, << 1, +1]
468	7	completed	[<< 3, -1, << 2, +1, << 2, +1, << 2]
469	6	completed	[<< 5, +1, << 1, +1, << 3, -(n)]
470	7	completed	[<< 1, +1, << 4, -1, << 2, +(n), << 1]
471	6	completed	[<< 4, -1, << 2, -1, << 3, -1]
472	5	completed	[<< 4, -1, << 2, -1, << 3]
473	6	completed	[<< 4, -1, << 2, -1, << 3, +1]
474	7	completed	[<< 4, -1, << 2, -1, << 2, +1, << 1]
475	6	completed	[<< 1, +1, << 5, -1, << 2, +(n)]
476	5	completed	[<< 4, -1, << 3, -1, << 2]
477	6	completed	[<< 4, -1, << 3, -1, << 2, +1]
478	5	completed	[<< 4, -1, << 4, -1, << 1]
479	4	completed	[<< 4, -1, << 5, -1]
480	3	completed	[<< 4, -1, << 5]
481	4	completed	[<< 4, -1, << 5, +1]
482	5	completed	[<< 4, -1, << 4, +1, << 1]
483	6	completed	[<< 4, -1, << 4, +1, << 1, +1]
484	5	completed	[<< 4, -1, << 3, +1, << 2]
485	6	completed	[<< 4, -1, << 3, +1, << 2, +1]
486	7	completed	[<< 4, -1, << 3, +1, << 1, +1, << 1]
487	6	completed	[<< 4, -1, << 2, +1, << 3, -1]
488	5	completed	[<< 4, -1, << 2, +1, << 3]
489	6	completed	[<< 4, -1, << 2, +1, << 3, +1]
490	7	completed	[<< 4, -1, << 2, +1, << 2, +1, << 1]
491	6	completed	[<< 5, -1, << 2, -1, << 2, -1]
492	5	completed	[<< 5, -1, << 2, -1, << 2]
493	6	completed	[<< 5, -1, << 2, -1, << 2, +1]
